,open,high,low,close,volume
2024-02-01,42525.90095177913,42738.53045653802,42287.5,42500.0,30000.0
2024-02-02,42367.402026454336,43522.42999198019,42110.28023407999,43471.3726814971,100261.01143456191
2024-02-03,43488.044874926614,44198.51379449158,43433.64129894017,44146.82537172382,46299.70931447942
2024-02-04,44249.83650597057,45072.96668196655,44223.77328875331,45062.07498058951,55612.54568746842
2024-02-05,45111.92500703394,46160.27488718743,44724.4877420694,45949.22849033128,86738.30197375311
2024-02-06,45855.36392866638,46733.923323574854,45330.406534196794,46412.185820094295,47002.30323390176
2024-02-07,46486.30271859523,47112.040344393405,46416.18828913027,47024.42719770201,51164.8699184759
2024-02-08,46967.09289765191,47749.90695502689,46830.55233652461,47656.71891010846,57900.67651849871
2024-02-09,47640.42782422852,48675.565613303756,47453.574094958436,48471.17971645452,83463.12041053259
2024-02-10,48550.16170091286,49407.39437325603,48266.91438561582,49298.31035325679,54115.36047136444
2024-02-11,49427.19025229494,50116.82024853976,49377.90300935445,50105.1220767557,50021.9385949682
2024-02-12,50200.01439761948,50765.53558274975,49577.22909335802,50489.387584351025,42840.6765402579
2024-02-13,50447.71229306198,51651.24272612273,49858.16026049504,51357.4519910159,88551.22600250784
2024-02-14,51305.85546546589,52148.41104883103,51247.546041301226,52111.47291820736,58764.64023624394
2024-02-15,52056.95518673224,53111.29393407533,51946.57746393354,53026.681618045266,104085.78291680667
2024-02-16,52846.398237208974,53860.935660656665,52600.90992590252,53724.522382954034,61870.38961951298
2024-02-17,53655.66054987018,53993.39231821374,53590.20982798463,53963.97599497413,33036.9179113548
2024-02-18,53856.81552819161,54518.48289412155,53785.098666774065,54413.10723832663,44933.020665388816
2024-02-19,54336.48231870051,54880.14076285836,54333.694401611334,54876.59060000888,63280.19647964487
2024-02-20,54860.376957168475,55517.30405039872,54686.42612732318,55442.88714823416,39621.58678037897
2024-02-21,55222.88429221782,56574.88414513251,54697.52108282407,56283.11634541358,97900.10664077249
2024-02-22,56502.49019774422,56918.00102830482,56340.11166340565,56843.14929570746,45978.60157816936
2024-02-23,56681.14255920297,56958.12243861318,56561.69069267078,56915.39717005279,31538.120040722988
2024-02-24,56955.9896187374,57942.172491857105,56647.29806885533,57751.6960773613,83483.15753913736
2024-02-25,57792.00841488907,58275.92581120488,57782.98226584236,58269.68772644517,38900.61872844224
2024-02-26,58301.02673224276,58877.74529413945,58217.43246838183,58839.1816872194,43788.511263209235
2024-02-27,59097.48032125911,59825.73024555424,58801.502965968735,59363.451922031345,43787.312997665045
2024-02-28,59118.277396234786,60465.78855508905,58997.45034658219,60207.61051240385,60063.1505705691
2024-02-29,60264.23827125643,61205.00179962665,59936.67787773168,61003.33855023123,81727.58758604685
2024-03-01,60822.24316339724,62023.03646832111,60182.48621873402,61630.231934678144,48570.14427632957
2024-03-02,61517.06093160056,61628.74859046849,61440.91220836157,61573.46679268509,35267.041946896345
2024-03-03,61382.16041681007,62307.8594902203,60581.70664031407,62028.696397437285,47979.14936251807
2024-03-04,62357.68356102147,62794.371497371096,62326.998380243334,62741.275278338144,62559.64334009934
2024-03-05,62559.61730897326,64272.14534306669,62299.882419879155,63994.668494483485,60714.94144259286
2024-03-06,63821.32091817447,64603.46324178898,63519.36513994001,64358.22923778625,42821.63995873748
2024-03-07,64231.80630797267,64605.64750319034,64136.44366106349,64501.76222776402,51420.5010741804
2024-03-08,64532.72145081547,64807.9481369825,64481.747394792605,64785.69256136899,71766.28073627994
2024-03-09,64705.82594564332,65741.44115959601,64441.150431049515,65345.23482150137,53970.242000049715
2024-03-10,65105.195172273074,67544.45395745641,64751.44814960361,66995.71045748697,76002.90936133178
2024-03-11,66918.69473703355,68117.79472226728,66013.48498422917,67901.60184670326,48390.76145686377
2024-03-12,68032.65060631413,69147.6103574056,67855.2804504384,69096.80338991966,47231.71654995657
2024-03-13,69388.56088225788,69437.0638905632,69135.51744745762,69146.3597365777,36528.19598582772
2024-03-14,68971.44082574637,70074.70989569194,68598.42800025901,69580.73690729277,47905.56194229779
2024-03-15,69303.86275910641,69312.04628710078,69086.33284615807,69100.22940292675,54697.317342302915
2024-03-16,69032.30254495802,69560.64177931822,68498.04785579687,68963.71222081332,44697.87427404848
2024-03-17,68819.72786283294,69977.18060522569,68711.96844328658,69902.00908020174,53063.249214975935
2024-03-18,69920.9853328128,70073.62571980701,68428.191031398,68499.73428490075,93139.52197463533
2024-03-19,68440.67723318869,69284.79847064041,67802.61372182325,67912.63630780365,36510.31185489117
2024-03-20,67764.09429127192,68440.41193186564,67557.44244826373,68253.57781844273,77719.28776684396
2024-03-21,68145.16941297508,68587.74007876331,66368.00917148533,66731.08444976316,137598.06330560247
2024-03-22,67157.3453563047,67860.78306946444,65949.3775594847,66454.09889758227,34186.28427080021
2024-03-23,66220.53268373107,67028.64711591476,66121.44383979183,66882.15250721754,42726.82987532325
2024-03-24,66832.93837632072,67045.88619957173,65733.74448451931,65872.42433512409,49154.94158990927
2024-03-25,65600.72117480749,65653.35993124376,65205.79840530143,65237.61765026522,41961.26089026922
2024-03-26,65329.903799788735,65832.57759947753,64947.31885413958,65639.27495609206,36223.54980046612
2024-03-27,65639.29157459606,65795.56341845708,65444.25660971378,65543.05147635921,34823.12666459553
2024-03-28,65954.62939102197,66561.82275930823,65124.56547505916,65257.58131922966,37000.110549077435
2024-03-29,65308.7088820745,65950.14287440093,65175.53451671793,65270.77955264304,65830.67419007771
2024-03-30,64929.168090543775,66159.33415200294,64361.01640246049,65740.01882133058,98990.21038070727
2024-03-31,65792.0291432643,66130.63712712856,65762.70295295144,66124.36695413194,54904.12646970321
2024-04-01,66154.63125273306,66522.08655927677,65546.81864749224,66199.59993567785,37680.325984322735
2024-04-02,66258.38398677981,66414.62971790283,66123.79598048588,66210.01452840149,26896.28627207601
2024-04-03,65905.34357068934,66205.47820681987,65463.536961424405,65649.3626178841,48393.938678853825
2024-04-04,65583.49211426775,66380.73459921527,64775.129166044695,66047.1124966798,45083.73284733479
2024-04-05,66134.11371851696,66997.27590248009,64735.03307117258,65399.543088359336,63921.423654411454
2024-04-06,65412.59928621424,65782.11030429503,64954.338380173744,65054.808671124985,36075.56688737279
2024-04-07,65017.600366918145,65722.33385917594,64737.18626314448,65312.74450949936,31512.271538732224
2024-04-08,65004.721718770976,65046.4672951589,64173.327301887766,64198.28012008052,78971.77123420309
2024-04-09,64321.06584261462,64748.937853693154,63509.74025329974,63621.8109923888,95790.38169420675
2024-04-10,63493.71351275509,63630.82986228349,63102.21424931068,63189.6454600767,58469.42850854197
2024-04-11,63247.3439371685,63286.40393519352,63072.81272794927,63090.777378952196,52417.93022394602
2024-04-12,62978.89785513219,63120.09162058744,62498.980837895986,62555.397873566035,77735.09603237548
2024-04-13,62714.27306776951,62987.638116810165,62085.743922562215,62192.33373650705,50627.672923379876
2024-04-14,62236.06755214761,62328.73747775081,61722.37026696591,61770.57500919121,37613.54264604498
2024-04-15,61841.622387559546,62360.90651033027,61464.693113138914,62155.8333474206,39161.69101651772
2024-04-16,62017.17830933307,62446.67146829759,61530.04984894666,61726.786686381725,46990.55896304848
2024-04-17,61972.88408702326,62933.26635345535,61452.85930951063,62841.149750770375,78477.92988460702
2024-04-18,62802.47196153092,63686.56839220239,61359.8521839981,61995.37786645232,42143.25408313064
2024-04-19,62238.936135081916,62741.591394552495,61535.29093827418,61907.387630216464,32139.810316600277
2024-04-20,61989.03789157185,62257.24024855122,60361.726726891175,60414.40823867393,69353.21264353182
2024-04-21,60497.66879732851,60908.157814937236,58309.62137943363,58514.752598621926,132848.5946505074
2024-04-22,58648.18959692031,61140.37390104456,58603.3277235242,61106.12913689062,108519.7829067356
2024-04-23,61142.201813610736,61609.079317992735,60450.456082464196,60696.364555663036,34968.79980685749
2024-04-24,60674.961408946605,61035.05187064043,59656.86183630805,59945.71539644104,49081.62965191694
2024-04-25,59526.044533146116,59870.85022821111,58802.75504624133,59065.83476620808,101008.33019183819
2024-04-26,59258.84138826362,59512.812841660416,58129.8038892615,58300.92327858066,51970.744454923784
2024-04-27,58283.7680329476,58859.74152033453,56949.351543455734,57424.0219642407,50412.470227034406
2024-04-28,57168.96688059152,57416.412206233515,56648.33416727926,56914.18466190326,61737.04748338708
2024-04-29,56678.18745989595,56840.02477711168,56298.677642979914,56326.42664460309,135100.13468757825
2024-04-30,56017.041496524755,56205.40578075365,55605.54876158336,55714.22141504993,70792.69771702771
2024-05-01,55604.86276501332,55781.36696343976,55227.85977795997,55332.85226771543,37148.99541009464
2024-05-02,55552.08019655836,56132.81133110767,55416.74308850065,56032.95907584632,53693.63196355529
2024-05-03,56220.32081434607,56737.15953676191,56077.84980461709,56662.774779765605,45125.18282556513
2024-05-04,57015.8372195848,57499.60395790862,56996.10746937715,57488.32327471667,52678.835314755845
2024-05-05,57545.766246479594,57889.333086731305,57536.95958985287,57884.164226492045,44774.7203195033
2024-05-06,57524.18548554889,58557.1344921948,57312.208552793294,58328.343577639636,39973.088660482856
2024-05-07,58521.87586146327,59203.95377701992,58127.39219883599,58908.5608346031,72018.30634026717
