timeframe,strategy,type,variant,params,total_trades,total_return_pct,profit_factor,sharpe_ratio,max_drawdown_pct,win_rate_pct,avg_trade_pct,avg_win_pct,avg_loss_pct,max_consecutive_losses,long_trades,short_trades,long_return_pct,short_return_pct,score,return_1w,return_1m,return_3m,return_6m,return_1y
2H,BB+Stoch Reversion,Mean-Reversion,default,"{""bb_period"": 20, ""bb_mult"": 2.0, ""stoch_k"": 14, ""atr_stop"": 1.5}",603,8071.37,2.409,0.716,75.45,46.6,1.0413,3.8203,-1.3839,9,287,316,441.51,186.38,0.0229,4.19,18.81,12.31,123.92,1697.01
2H,BB+Stoch Reversion,Mean-Reversion,v2,"{""bb_period"": 20, ""bb_mult"": 2.0, ""stoch_k"": 14, ""atr_stop"": 1.5}",603,8071.37,2.409,0.716,75.45,46.6,1.0413,3.8203,-1.3839,9,287,316,441.51,186.38,0.0229,4.19,18.81,12.31,123.92,1697.01
2H,BB+Stoch Reversion,Mean-Reversion,v4,"{""bb_period"": 30, ""bb_mult"": 2.0, ""stoch_k"": 21, ""atr_stop"": 2.0}",535,4675.83,2.081,0.634,77.5,50.1,1.1113,4.2702,-2.0594,7,254,281,386.71,207.84,0.017,8.27,23.74,12.78,130.63,318.58
2H,BB+Stoch Reversion,Mean-Reversion,v1,"{""bb_period"": 15, ""bb_mult"": 1.5, ""stoch_k"": 10, ""atr_stop"": 1.5}",1038,3031.14,1.793,0.582,83.94,40.7,0.5045,2.8061,-1.0722,17,483,555,336.24,187.48,0.0124,6.4,17.96,2.41,130.18,748.63
4H,EMA+ADX Trend,Trend-Following,default,"{""fast_period"": 9, ""slow_period"": 21, ""adx_threshold"": 20, ""atr_stop"": 2.0}",335,410.46,1.792,0.374,162.78,30.4,1.2286,9.1277,-2.2294,18,177,158,-13.68,425.26,0.0041,-9.38,-12.96,-31.86,36.84,31.26
4H,EMA+ADX Trend,Trend-Following,v2,"{""fast_period"": 9, ""slow_period"": 21, ""adx_threshold"": 20, ""atr_stop"": 2.0}",335,410.46,1.792,0.374,162.78,30.4,1.2286,9.1277,-2.2294,18,177,158,-13.68,425.26,0.0041,-9.38,-12.96,-31.86,36.84,31.26
1D,EMA+ADX Trend,Trend-Following,v5,"{""fast_period"": 5, ""slow_period"": 15, ""adx_threshold"": 15, ""atr_stop"": 1.5}",41,313.23,5.557,3.716,11.81,56.1,3.9999,8.6948,-1.9993,3,18,23,113.53,50.46,1.7488,0.38,9.44,10.9,10.73,81.62
2H,BB+Stoch Reversion,Mean-Reversion,v3,"{""bb_period"": 20, ""bb_mult"": 2.5, ""stoch_k"": 14, ""atr_stop"": 2.0}",345,307.19,1.664,0.377,71.46,46.7,0.6357,3.415,-1.7963,6,167,178,66.51,152.79,0.0088,1.72,7.26,-3.61,46.17,28.72
1D,EMA+ADX Trend,Trend-Following,default,"{""fast_period"": 9, ""slow_period"": 21, ""adx_threshold"": 20, ""atr_stop"": 2.0}",37,234.28,4.149,3.27,17.12,56.8,3.8075,8.8389,-2.7961,3,18,19,97.84,43.04,0.7925,0.4,9.91,10.67,10.57,66.16
1D,EMA+ADX Trend,Trend-Following,v2,"{""fast_period"": 9, ""slow_period"": 21, ""adx_threshold"": 20, ""atr_stop"": 2.0}",37,234.28,4.149,3.27,17.12,56.8,3.8075,8.8389,-2.7961,3,18,19,97.84,43.04,0.7925,0.4,9.91,10.67,10.57,66.16
1D,EMA+ADX Trend,Trend-Following,v1,"{""fast_period"": 8, ""slow_period"": 21, ""adx_threshold"": 18, ""atr_stop"": 1.5}",38,231.65,4.134,3.265,14.54,52.6,3.6866,9.2393,-2.4831,3,19,19,98.01,42.08,0.9286,0.38,9.44,12.32,11.05,69.51
1D,EMA+ADX Trend,Trend-Following,v4,"{""fast_period"": 9, ""slow_period"": 30, ""adx_threshold"": 18, ""atr_stop"": 2.5}",34,229.28,4.39,3.229,13.71,55.9,4.0862,9.469,-2.732,3,17,17,96.23,42.7,1.034,0.38,9.44,11.43,11.85,74.03
1D,EMA+ADX Trend,Trend-Following,v3,"{""fast_period"": 12, ""slow_period"": 26, ""adx_threshold"": 22, ""atr_stop"": 2.0}",36,221.65,4.262,3.217,12.39,55.6,3.7745,8.8768,-2.6033,4,17,19,94.66,41.22,1.1061,0.4,9.91,9.61,8.59,68.85
1D,Donchian+MACD,Hybrid,v4,"{""entry_period"": 10, ""exit_period"": 5, ""atr_stop"": 1.5}",98,159.16,4.053,3.843,6.19,61.2,1.0702,2.3205,-0.9039,4,52,46,83.0,21.88,2.5177,0.0,-0.01,-0.21,-2.38,26.19
1D,Donchian+MACD,Hybrid,v1,"{""entry_period"": 15, ""exit_period"": 7, ""atr_stop"": 2.0}",80,132.49,4.318,3.547,5.58,58.8,1.1551,2.5586,-0.8439,4,44,36,68.87,23.54,2.7432,0.0,-0.01,-1.23,-3.87,23.03
4H,EMA+ADX Trend,Trend-Following,v4,"{""fast_period"": 9, ""slow_period"": 30, ""adx_threshold"": 18, ""atr_stop"": 2.5}",325,119.25,1.662,0.354,166.53,28.3,1.1849,10.5045,-2.4949,19,174,151,-63.57,448.67,0.0035,-9.61,-14.67,-37.07,47.57,39.11
1D,Donchian+MACD,Hybrid,default,"{""entry_period"": 20, ""exit_period"": 10, ""atr_stop"": 2.5}",71,107.33,3.928,3.158,6.43,57.7,1.1283,2.621,-0.9118,4,38,33,62.46,17.65,1.9304,0.0,-0.01,-0.92,-2.27,22.78
1D,Donchian+MACD,Hybrid,v2,"{""entry_period"": 20, ""exit_period"": 10, ""atr_stop"": 2.5}",71,107.33,3.928,3.158,6.43,57.7,1.1283,2.621,-0.9118,4,38,33,62.46,17.65,1.9304,0.0,-0.01,-0.92,-2.27,22.78
4H,Supertrend,Trend-Following,v1,"{""period"": 7, ""multiplier"": 2.0, ""atr_stop"": 1.5}",341,101.0,1.424,0.366,211.88,23.8,0.788,11.1463,-2.439,17,167,174,-60.86,329.58,0.0025,-4.99,-11.53,-26.54,40.25,100.18
4H,EMA+ADX Trend,Trend-Following,v1,"{""fast_period"": 8, ""slow_period"": 21, ""adx_threshold"": 18, ""atr_stop"": 1.5}",373,84.8,1.465,0.36,179.17,28.2,0.6744,7.5498,-2.0193,24,191,182,-102.73,354.29,0.0029,-8.4,-12.42,-23.51,35.94,42.82
