trade_id,entry_date,exit_date,direction,strategy,entry_price,exit_price,size_pct,profit_pct,profit_usd,bars_held,exit_reason
1,2021-02-09,2021-02-18,short,M1,46261.266547472354,50747.94024239806,9.112478923584318,-8.8411,-805.64,9,M1 Stop
2,2021-03-14,2021-03-23,short,M1,61253.88273483405,54424.50769545308,9.953458502215321,12.5483,1238.93,9,M1 Target
3,2021-05-18,2021-05-20,long,M1,43824.60642342267,38740.95396838217,15.11447234082379,-11.6,-1760.87,2,M1 Stop
4,2021-05-20,2021-05-30,long,M1,37324.67879382979,34740.30433405934,12.186413475539013,-6.924,-832.59,10,M1 Time Exit
5,2021-07-29,2021-08-07,short,M1,39991.16704620353,42780.597356214355,12.660563791339401,-6.5203,-807.68,9,M1 Stop
6,2021-10-07,2021-10-16,short,M1,55359.590736286926,59752.91919789871,10.982858640723189,-7.3525,-783.55,9,M1 Stop
7,2022-01-08,2022-01-18,long,M1,41568.724239687486,42256.04277575545,22.68519281101091,1.6535,361.02,10,M1 Time Exit
8,2022-01-22,2022-02-01,long,M1,36545.30858962065,38516.97892675036,22.7133419918314,5.3951,1183.87,10,M1 Time Exit
9,2022-05-10,2022-05-20,long,M1,30299.856543586106,30352.023835953394,18.488523756321623,0.1722,31.13,10,M1 Time Exit
10,2022-06-14,2022-06-17,long,M1,22548.29411874159,19944.988544426335,14.18246031551959,-11.5455,-1601.81,3,M1 Stop
11,2022-06-17,2022-06-27,long,M1,20429.0991810824,21031.752592437897,13.02559552082085,2.95,369.74,10,M1 Time Exit
12,2022-11-10,2022-11-20,long,M1,15758.186780297397,16696.01679626902,20.87087577807835,5.9514,1199.78,10,M1 Time Exit
13,2023-01-12,2023-01-13,short,M1,17978.835721187865,18568.532010656556,29.676063916906894,-3.1758,-921.64,1,M1 Stop
14,2023-01-13,2023-01-14,short,M1,18847.94352028643,19531.87978925085,27.232357265846577,-3.5016,-923.74,1,M1 Stop
15,2023-01-14,2023-01-15,short,M1,19921.838762753006,20697.705102917484,24.743025995294637,-3.7486,-889.92,1,M1 Stop
16,2023-01-15,2023-01-21,short,M1,20998.187407408637,21934.763108472638,22.945345960597347,-4.2698,-931.3,6,M1 Stop
17,2023-03-10,2023-03-14,long,M1,20396.696327436235,24154.776372646716,27.45898927020189,18.4249,4762.11,4,M1 Target
18,2023-03-18,2023-03-28,short,M1,27439.211152000033,27209.48185951041,13.582831305577828,0.8443,113.4,10,M1 Time Exit
19,2023-04-12,2023-04-20,short,M1,30230.67517329924,28862.050718722323,16.34063706890437,4.742,767.13,8,M1 Target
20,2023-06-22,2023-07-02,short,M1,30071.6630546692,30614.20321929723,16.985062073417176,-1.7722,-300.31,10,M1 Time Exit
21,2023-08-18,2023-08-28,long,M1,26528.088857189654,26056.634461040307,51.652512486513125,-1.7772,-913.08,10,M1 Time Exit
22,2023-10-21,2023-10-24,short,M1,29647.71549558773,30888.563406684494,25.97276573998555,-4.0172,-1028.29,3,M1 Stop
23,2023-10-24,2023-10-25,short,M1,32920.30949807016,34221.976178838166,22.45177557447723,-3.8036,-832.85,1,M1 Stop
24,2023-10-25,2023-11-02,short,M1,33812.877533074905,35194.3399419572,22.014561206918675,-3.9252,-835.56,8,M1 Stop
25,2023-11-16,2023-11-22,short,M1,37865.75878921127,36001.32572104146,20.07669981168985,5.1788,996.67,6,M1 Target
26,2023-12-04,2023-12-05,short,M1,39920.31514499011,41804.383735121875,19.518070823860036,-4.5069,-851.99,1,M1 Stop
27,2023-12-05,2023-12-06,short,M1,41932.3574407708,43973.83993926467,18.78261937077536,-4.6425,-837.13,1,M1 Stop
28,2023-12-06,2023-12-16,short,M1,44061.83882782678,42034.00620141121,18.202583571660117,4.8243,835.69,10,M1 Time Exit
29,2024-02-10,2024-02-13,short,M1,47096.09974808005,49250.911122617894,18.576364065676664,-4.3752,-780.25,3,M1 Stop
30,2024-02-13,2024-02-15,short,M1,50000.085958469404,52228.243798988864,19.595733443217682,-4.2662,-796.04,2,M1 Stop
31,2024-02-15,2024-02-25,short,M1,51738.379128228895,51604.649809543975,19.621228862903035,0.2591,48.01,10,M1 Time Exit
32,2024-02-28,2024-02-29,short,M1,56946.5232105708,59699.407597862286,21.76961632749789,-4.6112,-948.37,1,M1 Stop
33,2024-02-29,2024-03-05,short,M1,62496.02344216892,65782.57005962738,19.14896129342255,-4.9961,-894.75,5,M1 Stop
34,2024-03-05,2024-03-12,short,M1,68118.45928838721,72007.87293761119,17.452822957289577,-5.4014,-873.22,7,M1 Stop
35,2024-06-25,2024-07-05,long,M1,60423.59821027155,57665.55563724611,39.81711208362979,-4.5645,-1667.64,10,M1 Stop
36,2024-07-05,2024-07-15,long,M1,57246.36329821045,60881.38541222297,34.919082729338456,6.3498,1997.54,10,M1 Target
37,2024-08-06,2024-08-16,long,M1,54010.21810343904,57566.49281159339,24.73893971143317,6.5844,1500.02,10,M1 Time Exit
38,2024-10-30,2024-11-05,short,M1,72708.33196849974,67861.09112487466,20.701771624058217,7.1429,1383.87,6,M1 Target
39,2024-11-08,2024-11-11,short,M1,75911.25454142346,79601.6417190743,18.70436188360416,-4.6361,-823.54,3,M1 Stop
40,2024-11-11,2024-11-12,short,M1,80386.24983178708,84863.6574445696,18.371268625405826,-5.276,-912.54,1,M1 Stop
41,2024-11-12,2024-11-20,short,M1,88548.78258322588,93529.806301604,16.635150493218337,-5.3256,-825.99,8,M1 Stop
42,2025-02-27,2025-03-03,long,M1,83984.01508021362,94167.27133251903,31.606421107983387,12.1252,3541.42,4,M1 Target
43,2025-05-09,2025-05-19,short,M1,102973.19927957421,106136.66832081902,18.076522942074234,-2.9806,-516.96,10,M1 Time Exit
44,2025-07-11,2025-07-14,short,M1,115763.77065082383,119693.18022100549,24.710251487929135,-3.2829,-774.17,3,M1 Stop
45,2025-07-14,2025-07-24,short,M1,118998.43910661309,118747.68493718556,25.775293866455005,0.2112,51.52,10,M1 Time Exit
46,2025-11-15,2025-11-21,long,M1,94550.8500760357,89487.30658838418,30.39498406206483,-5.3554,-1541.66,6,M1 Stop
47,2025-11-21,2025-12-01,long,M1,86736.62255176145,90315.87820122573,28.72299258706266,4.1266,1104.31,10,M1 Time Exit
48,2026-01-15,2026-01-21,short,M1,96910.77300802394,88401.15337308809,26.84994334920272,9.6261,2436.6,6,M1 Target
49,2026-02-01,2026-02-05,long,M1,78804.58439738429,74555.61751611052,33.053166104009655,-5.3918,-1723.51,4,M1 Stop
50,2026-02-05,2026-02-06,long,M1,73245.46432452176,68069.97127275061,28.901694849255346,-7.066,-1939.79,1,M1 Stop
