trade_id,entry_date,exit_date,direction,strategy,entry_price,exit_price,size_pct,profit_pct,profit_usd,bars_held,exit_reason
1,2021-05-16,2021-06-14,short,T1,46734.12140238352,39855.588260571,11.422731707640985,17.2586,1971.41,29,T1 Stop
2,2021-08-03,2021-09-08,long,T1,39318.04527461178,47777.757822037835,35.06144883314378,21.5161,7692.58,36,T1 Stop
3,2021-09-29,2021-10-02,short,T1,40969.364823167125,46203.98722197168,13.602211808731617,-11.3294,-1689.97,3,T1 Stop
4,2021-10-03,2021-10-23,long,T1,47825.53978108206,59985.99920711097,29.23171687090792,25.4267,8025.34,20,T1 Stop
5,2021-12-05,2021-12-24,short,T1,49112.828718865596,51621.1431976807,13.337196364016949,-4.8591,-751.75,19,T1 Stop
6,2022-03-26,2022-04-07,long,T1,44376.10973502118,43577.69547151386,33.31105549402654,-1.7992,-690.72,12,T1 Stop
7,2022-04-17,2022-05-31,short,T1,40409.92892613433,32208.376908138467,19.69453384828803,25.464,5745.05,44,T1 Stop
8,2022-11-05,2022-11-09,long,T1,21171.46589949631,19854.413984384668,63.2065728271438,-6.2209,-4730.28,4,T1 Stop
9,2022-11-10,2022-11-11,short,T1,15726.701891625476,17615.596011135945,14.907768412913109,-10.7229,-1847.46,1,T1 Stop
10,2023-01-14,2023-01-15,long,T1,19961.722323839596,19953.251564491795,70.69435998655611,-0.0424,-34.12,1,T1 Stop
11,2023-05-23,2023-05-29,short,T1,26842.816335768985,27929.41523785789,30.592170785705637,-3.8905,-1353.13,6,T1 Stop
12,2023-06-23,2023-07-19,long,T1,29965.567738856305,29801.39504926114,48.52937124712076,-0.5479,-298.68,26,T1 Stop
13,2023-08-18,2023-08-30,short,T1,26475.08568264982,27394.005016099258,36.894651776080806,-3.3545,-1386.6,12,T1 Stop
14,2023-10-08,2023-10-12,long,T1,28005.521034190704,26876.071318316695,78.4356837372026,-4.033,-3500.22,4,T1 Stop
15,2023-10-15,2023-10-17,short,T1,26836.32038551084,28047.218543072446,40.8948360321019,-4.3174,-1891.84,2,T1 Stop
16,2023-10-17,2023-10-24,long,T1,28541.823242409824,31338.399198393563,75.70283549572845,9.7982,7807.62,7,T1 Stop
17,2024-05-03,2024-05-05,short,T1,59076.03818741252,64302.418508846065,18.676087361767664,-8.1278,-1716.31,2,T1 Stop
18,2024-05-18,2024-06-01,long,T1,67120.17638836072,66624.07656375847,41.64481401554268,-0.7391,-342.74,14,T1 Stop
19,2024-06-24,2024-07-14,short,T1,63158.136026990396,59736.73641273627,32.21347424864722,5.7275,2048.12,20,T1 Stop
20,2024-07-24,2024-08-01,long,T1,66008.35988269359,63915.744422927004,49.57181234466352,-3.1702,-1776.72,8,T1 Stop
21,2024-08-05,2024-08-09,short,T1,57948.20038010005,60212.249319469185,20.578387013855494,-3.7601,-861.05,4,T1 Stop
22,2024-09-24,2024-10-02,long,T1,63390.353571046515,61444.57007290014,49.72267366186096,-3.0695,-1685.26,8,T1 Stop
23,2025-04-26,2025-05-30,long,T1,94867.88511844179,105775.94690677251,41.88626274633965,11.4982,5236.76,34,T1 Stop
24,2025-08-31,2025-09-11,short,T1,108673.17532197763,113669.37111210261,29.065792391353817,-4.3954,-1456.02,11,T1 Stop
25,2025-09-16,2025-09-23,long,T1,115512.64998000233,112341.24889823773,78.72225841608649,-2.7455,-2431.79,7,T1 Stop
26,2025-09-27,2025-09-30,short,T1,109600.49853793076,114231.69758642904,39.723357461549305,-4.0542,-1772.84,3,T1 Stop
27,2025-10-02,2025-10-11,long,T1,118621.74776204236,117870.10375466899,76.21072970224326,-0.6336,-523.03,9,T1 Stop
28,2025-10-18,2025-10-26,short,T1,106337.16833789652,112871.38661285145,24.588751642008695,-5.7891,-1534.3,8,T1 Stop
